id,n_roh,mean_roh_kb,min_roh_kb,max_roh_kb,sum,Froh_genome
D229160,7,1779.31171428571,1154.926,3628.844,12455182,0.0124022731215204
D229161,12,1448.45383333333,1042.759,1988.144,17381446,0.0173076106426191
D229162,4,1786.215,1007.184,2623.419,7144860,0.00711450905615238
D229167,9,1495.99344444444,1044.257,2796.289,13463941,0.013406746972789
D229170,11,1938.09954545455,1032.702,5646.336,21319095,0.0212285327419254
D229171,3,1645.594,1407.403,2013.353,4936782,0.00491581084125512
D229509,7,2250.62728571429,1036.068,4793.288,15754391,0.0156874672762889
D229512,4,1700.5115,1111.923,2889.598,6802046,0.00677315130980384
D229518,6,1581.91333333333,1015.13,2143.872,9491480,0.0094511607528054
D229556,18,1589.38622222222,1010.109,4260.11,28608952,0.0284874228593743
D229560,6,1290.58416666667,1030.674,1671.896,7743505,0.00771061104750286
D229599,8,1347.9015,1020.195,2492.475,10783212,0.0107374055514609
D229630,5,1152.4588,1085.213,1330.414,5762294,0.00573781611497112
D229633,3,1330.55133333333,1062.617,1719.775,3991654,0.0039746976892517
D229635,9,1243.11688888889,1042.931,1545.101,11188052,0.01114052581502
D229638,5,1265.594,1057.583,1528.383,6327970,0.00630108915668895
D229646,6,1825.0065,1159.859,4294.604,10950039,0.010903523880205
D229648,11,1504.07909090909,1016.434,2547.634,16544870,0.0164745883681225
D229658,8,1647.559375,1089.616,4373.387,13180475,0.0131244851196371
D229675,4,2512.34475,1265.282,4701.412,10049379,0.0100066898307605
D229676,15,2900.14826666667,1011.163,10625.742,43502224,0.0433174291183829
D229705,5,1291.8164,1074.459,1611.943,6459082,0.00643164420064646
D229707,8,1456.905,1077.421,2605.967,11655240,0.0116057292279526
D229716,11,1681.70736363636,1010.175,2954.629,18498781,0.018420199269444
D229718,15,1626.57973333333,1004.178,3728.864,24398696,0.0242950517785246
D229721,13,1757.36284615385,1027.308,3507.278,22845717,0.0227486697417156
D229734,8,1440.636625,1056.633,1952.616,11525093,0.011476135084732
D229737,13,1663.11169230769,1000.468,3176.295,21620452,0.0215286095951646
D229740,7,1744.66871428571,1210.417,2414.188,12212681,0.0121608022514647
D229753,14,1398.14657142857,1008.605,2273.194,19574052,0.0194909025816598
D229759,7,1529.41371428571,1080.39,2823.212,10705896,0.0106604179852685
D229770,6,1607.34366666667,1054.298,1990.196,9644062,0.0096030945934693
D229771,4,1284.62775,1219.719,1338.968,5138511,0.0051166829083619
D229772,17,1400.22452941176,1000.004,2497.995,23803817,0.0237026997894282
D229775,1,1000.263,1000.263,1000.263,1000263,0.000996013941775507
D229776,17,1755.731,1064.571,3268.31,29847427,0.0297206368906245
D229777,11,1348.14654545455,1023.488,1810.746,14829612,0.0147666166829338
D229780,14,1588.45021428571,1095.205,2883.018,22238303,0.0221438360005599
D229783,10,1388.8242,1031.427,2020.987,13888242,0.013829245567168
D237206,23,1636.25017391304,1037.798,3751.293,37633754,0.0374738880327971
D237232,14,1819.64314285714,1002.017,3588.791,25475004,0.0253667876856255
D237233,10,1865.9516,1091.152,4993.324,18659516,0.0185802514766448
D237235,11,1407.13081818182,1040.365,2634.767,15478439,0.0154126875041082
D237258,4,2308.3045,1621.382,3480.931,9233218,0.00919399583454808
D237278,4,4404.95575,1901.728,11688.013,17619823,0.0175449750311835
D237300,10,3215.1468,1238.497,17951.962,32151468,0.032014890460358
D237304,4,1250.93875,1095.968,1340.346,5003755,0.00498249934390146
D237310,5,1672.3334,1064.955,2737.292,8361667,0.00832614713178852
D237311,1,1906.304,1906.304,1906.304,1906304,0.00189820613304942
D237313,4,1994.74875,1260.747,2727.133,7978995,0.007945100699873
D237325,8,1482.212625,1026.061,2084.716,11857701,0.0118073301855666
D237327,9,1459.09466666667,1058.975,3587.141,13131852,0.0130760686672731
D237337,11,1967.84954545455,1050.936,3654.075,21646345,0.0215543926032279
D237339,15,1877.61153333333,1005.62,6270.588,28164173,0.0280445332543314
D237340,10,1311.7911,1060.067,2474.582,13117911,0.0130621868878188
D237352,3,1227.879,1072.6,1437.525,3683637,0.00366798912729962
D237355,10,2097.665,1019.262,5016.956,20976650,0.0208875424280866
D237360,5,2361.6208,1118.987,4313.525,11808104,0.0117579438706971
D237361,8,1530.565375,1011.412,2154.046,12244523,0.0121925089885269
D237369,13,1471.05030769231,1031.449,2891.726,19123654,0.0190424178457975
D237370,2,1082.9515,1044.843,1121.06,2165903,0.00215670237180961
