id,sum,Froh_genome
D229721,22845717,0.0227486697417156
D229734,11525093,0.011476135084732
D229737,21620452,0.0215286095951646
D229740,12212681,0.0121608022514647
D229753,19574052,0.0194909025816598
D229759,10705896,0.0106604179852685
D229770,9644062,0.0096030945934693
D229771,5138511,0.0051166829083619
D229772,23803817,0.0237026997894282
D229775,1000263,0.000996013941775507
D229776,29847427,0.0297206368906245
D229777,14829612,0.0147666166829338
D229780,22238303,0.0221438360005599
D229783,13888242,0.013829245567168
D237206,37633754,0.0374738880327971
D237232,25475004,0.0253667876856255
D237233,18659516,0.0185802514766448
D237235,15478439,0.0154126875041082
D237258,9233218,0.00919399583454808
D237278,17619823,0.0175449750311835
D237300,32151468,0.032014890460358
D237304,5003755,0.00498249934390146
D237310,8361667,0.00832614713178852
D237311,1906304,0.00189820613304942
D237313,7978995,0.007945100699873
D237325,11857701,0.0118073301855666
D237327,13131852,0.0130760686672731
D237337,21646345,0.0215543926032279
D237339,28164173,0.0280445332543314
D237340,13117911,0.0130621868878188
D237352,3683637,0.00366798912729962
D237355,20976650,0.0208875424280866
D237360,11808104,0.0117579438706971
D237361,12244523,0.0121925089885269
D237369,19123654,0.0190424178457975
D237370,2165903,0.00215670237180961
D237371,3765823,0.00374982600601928
D237378,9715583,0.0096743117764799
D237379,2622706,0.00261156489960968
D237385,4922857,0.00490194499383377
D237389,7365171,0.00733388418801921
D237391,9662218,0.00962117346785221
D243901,15547587,0.0154815417674828
D243907,3035822,0.00302292600720891
D243916,63222806,0.0629542392492456
D243918,74591748,0.0742748866542153
D243930,22239114,0.0221446435554798
D243937,40592325,0.0404198911976975
D243940,19527781,0.0194448281381385
D243950,13439287,0.0133821977015268
D244001,13468455,0.0134112417975833
D244005,13122366,0.0130666229632416
D244017,3534372,0.00351935819621538
D244025,25532839,0.0254243770059568
D244027,14179997,0.0141197612091369
D244029,32318387,0.0321811003982916
D244032,24836883,0.0247313773859946
D244033,15284244,0.0152193174330138
D244042,16078624,0.0160103229536295
D244045,20691500,0.0206036037284673
D244054,6568146,0.00654024490320749
D244055,24685234,0.0245803725820017
D244073,19242917,0.0191611742236081
D244077,21919843,0.0218267287998559
D244083,21975109,0.0218817600331477
D244086,12260108,0.0122080277843661
D244087,48909526,0.0487017612184312
D244090,3348537,0.00333431261233409
D244112,111226483,0.110753999460798
D244123,19431062,0.0193485199947457
D244139,33319147,0.0331776092288404
D244143,19457137,0.0193744842296837
D244144,16987295,0.0169151339728185
D244147,37150200,0.0369923881416672
D244162,18261943,0.0181843673432983
D244163,39254079,0.0390873299877704
D244168,10132624,0.0100895812109106
D244179,15427697,0.0153621610531312
D244183,6682258,0.00665387216216227
D244186,13631172,0.013573267585365
D247994,16664840,0.0165940487426388
