parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[KUM_D237325,Intercept]	0.95	0.8	median	0.12194209197547838	0.4683810740942359	1.1036916562274266	1.8146347186367429	2.1819532187055106
r_site:id[KUM_D237327,Intercept]	0.95	0.8	median	-0.5045006634529351	-0.22444985441094764	0.2657597747541812	0.784229369249172	1.0435442239138442
r_site:id[KUM_D237337,Intercept]	0.95	0.8	median	-0.5571703385899405	-0.32534212995711614	0.08393300874516438	0.48842272179632185	0.6855414362122668
r_site:id[KUM_D237339,Intercept]	0.95	0.8	median	-1.256008574977858	-0.9894425958900877	-0.46868610858200843	0.04040157455439934	0.3537610739473285
r_site:id[KUM_D237340,Intercept]	0.95	0.8	median	-0.2891227330263415	-0.06066597404196919	0.36062089207820003	0.7731247192296432	0.978051951476597
r_site:id[KUM_D237389,Intercept]	0.95	0.8	median	-0.840451284686572	-0.5679780768709963	-0.039086187304215925	0.4910466406398253	0.7534841818876631
r_site:id[KUM_D243930,Intercept]	0.95	0.8	median	-0.3672770647109883	-0.114781382718282	0.32500256600963096	0.7864109306747482	1.0463394224125788
r_site:id[KUM_D243937,Intercept]	0.95	0.8	median	-1.0946043940795356	-0.8559268327079391	-0.33603893363069715	0.17080035483399542	0.4575440440443787
r_site:id[KUM_D243940,Intercept]	0.95	0.8	median	-0.9459790886880645	-0.6182121064553879	-0.015554563034614981	0.5950269076386682	0.8964068268074541
r_site:id[KUM_D244017,Intercept]	0.95	0.8	median	-1.0413178945031705	-0.7815357271227068	-0.27774082886993123	0.21028564507012842	0.48261549590289593
r_site:id[KUM_D244112,Intercept]	0.95	0.8	median	-0.7797249885308472	-0.5356783962495406	-0.03944180427802802	0.47863830998897466	0.7277877001346593
r_site:id[KUM_D244139,Intercept]	0.95	0.8	median	-0.9747426351330092	-0.6474238529840411	-0.06575652802521711	0.5544157254360589	0.8388131252263074
r_site:id[KUM_D244143,Intercept]	0.95	0.8	median	-1.1951377463348465	-0.821976555034567	-0.22758843813836532	0.3459346597730891	0.6462372570509733
r_site:id[KUM_D244144,Intercept]	0.95	0.8	median	-1.1001554151829833	-0.7702238262600061	-0.14857923106916135	0.4279282592285399	0.7610479103886423
