parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[LEH_D244054,Intercept]	0.95	0.8	median	-0.5704743697364436	-0.3503699198913901	0.08391626683898654	0.5353832524966952	0.7880957881615176
r_site:id[LEH_D244055,Intercept]	0.95	0.8	median	-0.9580765036119868	-0.7110182162702551	-0.27877583889491675	0.12511615408792778	0.3356435386119601
r_site:id[LEH_D244083,Intercept]	0.95	0.8	median	-0.8834528346984185	-0.6165060549208481	-0.19641059743154154	0.16957496391622026	0.3317039514660874
r_site:id[LEH_D244090,Intercept]	0.95	0.8	median	-0.5736183156796648	-0.36678362450081364	0.05097703421131397	0.49004385796271216	0.7727625848335783
r_site:id[NYR_D154280,Intercept]	0.95	0.8	median	-0.7590177158540725	-0.49253169200188546	-0.05539851057969877	0.37344094178250964	0.6264946418182848
r_site:id[NYR_D154288,Intercept]	0.95	0.8	median	-0.6755516265376158	-0.48803446199523426	-0.076052120862243	0.28139713215529827	0.513294579344079
r_site:id[NYR_D211308,Intercept]	0.95	0.8	median	-0.7036150050992849	-0.46116094656980444	-0.06744487484073078	0.30794339458521147	0.53149126683409
r_site:id[NYR_D211312,Intercept]	0.95	0.8	median	-0.3938072127626693	-0.20684378829779582	0.13543584199305303	0.5210791525058146	0.7156936664830003
r_site:id[NYR_D211320,Intercept]	0.95	0.8	median	-0.40353361150172445	-0.22104597697296618	0.16583373883986469	0.5583390094334254	0.7958751606321444
r_site:id[NYR_D211349,Intercept]	0.95	0.8	median	-0.5280500290591599	-0.3267774245283996	0.060713123138519516	0.45584204253304067	0.729077326659238
r_site:id[NYR_D211411,Intercept]	0.95	0.8	median	-0.4647046914717992	-0.26654184549041826	0.10209863933979703	0.5143198997653683	0.7578152936946769
r_site:id[NYR_D211412,Intercept]	0.95	0.8	median	-0.925537320399145	-0.6596059117040094	-0.20822279772093966	0.2018300849370329	0.42443296558688587
r_site:id[NYR_D211431,Intercept]	0.95	0.8	median	-0.3811551941209842	-0.17252455351641782	0.16461333006334716	0.5525106279704955	0.777369174381104
