parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[LEH_D229518,Intercept],0.95,0.8,median,-2.03191046014258,-1.2185840262211,-0.0560690618303054,1.14105129152112,1.80059336722944
r_site:id[LEH_D229560,Intercept],0.95,0.8,median,-2.03915054306263,-1.31498001572596,-0.0605009834814137,1.13911550158033,1.8846668376357
r_site:id[LEH_D229646,Intercept],0.95,0.8,median,0.629763339648608,0.899089060089225,1.45608295256901,2.05756097602911,2.42862484256551
r_site:id[LEH_D229648,Intercept],0.95,0.8,median,-2.29011614929991,-1.57037511939728,-0.33339043966853,0.956242273648597,1.83278202576227
r_site:id[LEH_D229742,Intercept],0.95,0.8,median,-1.88175190444457,-1.27598726188845,-0.0862481663401202,1.0880376736384,1.66535088484371
r_site:id[LEH_D229776,Intercept],0.95,0.8,median,-2.26648798389081,-1.56856243210606,-0.299664032669133,0.935366423547273,1.69773775935301
r_site:id[LEH_D237300,Intercept],0.95,0.8,median,-2.07583087452617,-1.32439588094442,-0.192181293812674,0.982655142845379,1.5868981588502
r_site:id[LEH_D237307,Intercept],0.95,0.8,median,-2.01865000955117,-1.38111629789432,-0.169310970490752,0.973481111194741,1.58204229848371
r_site:id[LEH_D243907,Intercept],0.95,0.8,median,-1.98810588365055,-1.26186160038294,-0.0778855173778876,1.12240075803635,1.79175765215414
r_site:id[LEH_D243950,Intercept],0.95,0.8,median,0.351682291372886,0.746330649789021,1.49354012026515,2.29041811999775,2.70571871129422
r_site:id[LEH_D244001,Intercept],0.95,0.8,median,-2.16027050880573,-1.41500940522125,-0.190783973511594,0.983828839268818,1.62114467066248
r_site:id[LEH_D244042,Intercept],0.95,0.8,median,-1.89379981563315,-1.31731243267081,-0.08218619823365,1.14370565388298,1.84655139256257
r_site:id[LEH_D244054,Intercept],0.95,0.8,median,-2.07600733808918,-1.36569125344514,-0.112032840460213,1.109779623272,1.77161801978798
r_site:id[LEH_D244055,Intercept],0.95,0.8,median,-1.77388517534441,-1.19018995838465,-0.286929769670084,0.586408187631047,1.09250717436502
r_site:id[LEH_D244083,Intercept],0.95,0.8,median,-2.20657090687459,-1.53145062014458,-0.379854148774601,0.802560507976692,1.54191715228061
r_site:id[LEH_D244090,Intercept],0.95,0.8,median,-1.91171337638329,-1.26199209330493,-0.0724883847832431,1.08831497300727,1.86306361783813
r_site:id[NYR_D154288,Intercept],0.95,0.8,median,-1.32621453476971,-0.767797712331118,0.23803507034865,1.25510707185141,1.73559834762821
r_site:id[NYR_D211308,Intercept],0.95,0.8,median,-1.81053557673706,-1.23246066178477,-0.291232903111331,0.569740557325341,0.965454836074716
r_site:id[NYR_D211312,Intercept],0.95,0.8,median,-1.91336139702521,-1.28007626075424,-0.210226630801035,0.939520951322794,1.47803934379151
r_site:id[NYR_D211320,Intercept],0.95,0.8,median,-0.978769825052923,-0.617308973529269,0.0149494725439585,0.643708363207874,0.946176694961969
r_site:id[NYR_D211349,Intercept],0.95,0.8,median,-0.565248049734722,-0.200305109982026,0.424043449279178,1.07199862513071,1.41602191334098
r_site:id[NYR_D211411,Intercept],0.95,0.8,median,-1.66644086441662,-1.15926190913226,-0.223957588632047,0.616845538337146,1.09510045525094
r_site:id[NYR_D211412,Intercept],0.95,0.8,median,-2.12945692558744,-1.47479865405445,-0.239360726703216,0.874439778322303,1.59127947142387
r_site:id[NYR_D211431,Intercept],0.95,0.8,median,-0.884882917636511,-0.56887870585656,0.087715744919697,0.735726452522779,1.00501412514796
r_site:id[NYR_D211461,Intercept],0.95,0.8,median,-1.29629360801366,-0.725498692482296,0.328785992648493,1.27019501535561,1.83075852586361
r_site:id[NYR_D217821,Intercept],0.95,0.8,median,-0.28553246474446,0.0610773029170602,0.782396124272558,1.52546251444314,1.91908149735977
r_site:id[NYR_D217870,Intercept],0.95,0.8,median,-2.03082269480495,-1.39076354289724,-0.282437324938858,0.93560621532311,1.62841438684854
r_site:id[NYR_D217910,Intercept],0.95,0.8,median,-2.29191858463778,-1.60930483092719,-0.356399358154187,0.995886127826402,1.64569662820508
r_site:id[NYR_D217911,Intercept],0.95,0.8,median,-2.27213829814012,-1.4993787520824,-0.347308772888433,0.837936170186408,1.59902102596647
r_site:id[NYR_D217947,Intercept],0.95,0.8,median,-2.23116496954627,-1.5688135013435,-0.463451276030432,0.588835851451083,1.22893864703229
r_site:id[NYR_D217949,Intercept],0.95,0.8,median,-0.514040645059275,-0.233574269131304,0.342555709859848,0.843838703322027,1.11641155750107
r_site:id[NYR_D217961,Intercept],0.95,0.8,median,-1.84412298902882,-1.45715595394723,-0.740623080579067,-0.102225510626776,0.199477383556828
r_site:id[NYR_D217964,Intercept],0.95,0.8,median,-2.36551957990698,-1.66679972576515,-0.333858129784323,1.0506032091646,1.66715630210598
r_site:id[NYR_D217965,Intercept],0.95,0.8,median,-2.20882279509778,-1.42024519887235,-0.328531742657927,0.708349586819934,1.28384499674483
r_site:id[NYR_D229096,Intercept],0.95,0.8,median,-0.118225609433568,0.126545474178466,0.653970956057325,1.19201158205171,1.48364778899482
r_site:id[NYR_D229154,Intercept],0.95,0.8,median,-2.45878794855378,-1.60664028780421,-0.514346090566248,0.570683140891483,1.21705941362566
r_site:id[NYR_D229556,Intercept],0.95,0.8,median,-1.19021284341114,-0.81108905270556,-0.0763411365698802,0.632923863769707,0.980815786308699
r_site:id[NYR_D229714,Intercept],0.95,0.8,median,-0.876483112419307,-0.325065862882096,0.839305118761212,2.19718025062827,2.92865800305445
r_site:id[NYR_D229716,Intercept],0.95,0.8,median,-0.961441854571429,-0.344422275979746,0.868397462498565,2.12837520109334,2.76106194418596
r_site:id[NYR_D229718,Intercept],0.95,0.8,median,-0.812398154405308,-0.336156222853328,0.381429797044338,1.10592083203489,1.45966285939822
r_site:id[NYR_D229770,Intercept],0.95,0.8,median,-1.92976281210485,-1.25802984202495,0.00324164010174096,1.26784330306839,2.0154865408275
r_site:id[NYR_D229772,Intercept],0.95,0.8,median,-2.39109658522311,-1.80347166159007,-0.657542129232453,0.515719004190384,1.29096897801278
r_site:id[NYR_D229783,Intercept],0.95,0.8,median,-0.485834861522067,-0.156334707832562,0.494300071140808,1.16446210528859,1.59433005382163
r_site:id[NYR_D229784,Intercept],0.95,0.8,median,-2.168295626396,-1.54300468373117,-0.433176810610723,0.798822572575337,1.43122847524724
r_site:id[NYR_D237360,Intercept],0.95,0.8,median,-1.96989992656827,-1.31438863715055,-0.127463802965105,0.992045941357028,1.55115697595817
r_site:id[NYR_D237361,Intercept],0.95,0.8,median,-0.0402749823582599,0.308007651779638,0.966385766533785,1.55920962962023,1.85124657127256
r_site:id[NYR_D237378,Intercept],0.95,0.8,median,-0.667221462726549,-0.221499410878485,0.628576030160461,1.42096737231956,1.8166181800214
r_site:id[NYR_D237391,Intercept],0.95,0.8,median,0.0548231951255529,0.454049356634668,1.09129131826837,1.7710032799505,2.12359128366486
r_site:id[NYR_D237394,Intercept],0.95,0.8,median,0.349604835192987,0.645957119810871,1.16889030251064,1.68990451435494,1.94297701917485
r_site:id[NYR_D243901,Intercept],0.95,0.8,median,-2.08519216092846,-1.39025039141316,-0.199445897323537,0.927350118626547,1.53530767338843
r_site:id[NYR_D243916,Intercept],0.95,0.8,median,-2.11812992876436,-1.48481345382793,-0.348198568518431,0.841260923761818,1.64865622918869
r_site:id[NYR_D243918,Intercept],0.95,0.8,median,-2.04336189400328,-1.30386107478638,-0.0779608286087028,1.10638136644467,1.76609205291237
r_site:id[NYR_D244032,Intercept],0.95,0.8,median,-0.55140821004147,-0.173180529468549,0.553715559660207,1.28707968997509,1.71292738334534
r_site:id[NYR_D244033,Intercept],0.95,0.8,median,-1.91083537133296,-1.26543178127808,-0.0149463756828122,1.19479106645304,1.82778033984458
r_site:id[NYR_D244077,Intercept],0.95,0.8,median,-1.96879697981911,-1.28710900780486,-0.0746433943427376,1.13460721717783,1.79011814154172
r_site:id[NYR_D244162,Intercept],0.95,0.8,median,-1.87846956619576,-1.23738165225377,-0.0817820747178914,1.11130679811157,1.7400535690979
r_site:id[NYR_D244163,Intercept],0.95,0.8,median,-2.03154804641051,-1.40412467890522,-0.219658414440749,0.883211019674922,1.54453396108846
r_site:id[NYR_D244168,Intercept],0.95,0.8,median,-2.43487584016953,-1.79798058649414,-0.720958155799293,0.29806904616087,0.892213090500478
r_site:id[NYR_D247994,Intercept],0.95,0.8,median,-2.10576198279138,-1.40677688863625,-0.28874815252595,0.840532152455471,1.40210021641908
r_site:id[SAA_D229097,Intercept],0.95,0.8,median,-2.4464357351591,-1.74859813855531,-0.635586850796189,0.541890697485913,1.26782603311445
r_site:id[SAA_D229103,Intercept],0.95,0.8,median,-2.24330142790374,-1.48796786028729,-0.268270034363315,0.901913241194275,1.64991447845652
r_site:id[SAA_D229160,Intercept],0.95,0.8,median,0.713811207927944,0.976772694718239,1.53153169107238,2.090097122656,2.40377049921389
r_site:id[SAA_D229161,Intercept],0.95,0.8,median,-0.716041437357884,-0.264644282490021,0.466400113117453,1.24898800242476,1.63319995421106
r_site:id[SAA_D229162,Intercept],0.95,0.8,median,-2.21184424547253,-1.53900877498706,-0.364924902388548,0.927538687969551,1.74061178815628
r_site:id[SAA_D229170,Intercept],0.95,0.8,median,-0.164426014211678,0.099677773728225,0.617582233019761,1.12040321301008,1.36234538764623
r_site:id[SAA_D229171,Intercept],0.95,0.8,median,-1.01652325106139,-0.606437483315451,0.145928694487942,0.832376248265129,1.21665924007261
r_site:id[SAA_D229186,Intercept],0.95,0.8,median,-0.818049828348453,-0.429096726726338,0.190859339842583,0.813742847463673,1.1120355667214
