parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[LEH_D244042,Intercept],0.95,0.8,median,-1.42150292042406,-1.09553793609967,-0.462144361295874,0.122549757393574,0.395935363836116
r_site:id[LEH_D244054,Intercept],0.95,0.8,median,-0.75884024565117,-0.46491506205067,0.109182690477961,0.692871994734054,1.01425089376477
r_site:id[LEH_D244055,Intercept],0.95,0.8,median,-1.17557901630525,-0.836299420754133,-0.241530006562284,0.351486118871424,0.64875938062769
r_site:id[LEH_D244083,Intercept],0.95,0.8,median,-0.364904605464976,-0.0877570644796579,0.398052008081579,0.931140627963595,1.22982998642719
r_site:id[LEH_D244090,Intercept],0.95,0.8,median,-0.699982296727541,-0.397068431728713,0.153830719995248,0.769979830603229,1.07633089411208
r_site:id[NYR_D154280,Intercept],0.95,0.8,median,-0.550263913895166,-0.255761842176218,0.328198639089477,0.910682878408382,1.28531796174111
r_site:id[NYR_D154288,Intercept],0.95,0.8,median,-0.418629844206288,-0.170584890582168,0.458265592463201,1.0716012969687,1.43203231017144
r_site:id[NYR_D211308,Intercept],0.95,0.8,median,-1.26431910325985,-0.952483940993772,-0.440576410343919,0.0844237868745131,0.380825440859171
r_site:id[NYR_D211312,Intercept],0.95,0.8,median,-0.625191770351909,-0.398917192944116,0.0653813109109193,0.501699664635257,0.743703585475518
r_site:id[NYR_D211320,Intercept],0.95,0.8,median,-1.27776812865126,-0.956765452447622,-0.410096437161193,0.104057172754814,0.34916810155164
r_site:id[NYR_D211349,Intercept],0.95,0.8,median,-1.32102273537554,-1.05071248445409,-0.572761261097039,-0.110201861642617,0.131274552945139
r_site:id[NYR_D211350,Intercept],0.95,0.8,median,-1.14974858376914,-0.811307951896115,-0.176413442425568,0.410163629286664,0.698629841124579
r_site:id[NYR_D211411,Intercept],0.95,0.8,median,-0.717578483840605,-0.422880883811811,0.0599880981331098,0.583923292022051,0.812248250787075
r_site:id[NYR_D211412,Intercept],0.95,0.8,median,-1.12264780506493,-0.773988543187533,-0.144699273273768,0.439837614649724,0.73539621991395
r_site:id[NYR_D211431,Intercept],0.95,0.8,median,-1.27167431908351,-0.946621294523383,-0.352298098911592,0.227126302534875,0.493214901129908
r_site:id[NYR_D211461,Intercept],0.95,0.8,median,-0.932542939509397,-0.609617828563551,-0.0279807501533703,0.56191763270429,0.858259657977093
r_site:id[NYR_D217821,Intercept],0.95,0.8,median,-0.638408070685352,-0.412474268980927,0.0555474201587169,0.507887730672046,0.778614135315302
r_site:id[NYR_D217870,Intercept],0.95,0.8,median,-1.29566761762437,-0.952893152328657,-0.357415386544067,0.208455388312307,0.509721091906061
r_site:id[NYR_D217910,Intercept],0.95,0.8,median,-0.447735033559164,-0.230710468878933,0.275322576904112,0.73770123396325,0.973154750476307
r_site:id[NYR_D217911,Intercept],0.95,0.8,median,-0.785091884357026,-0.520822096414669,-0.0189144619026954,0.470849538384696,0.737947765702152
r_site:id[NYR_D217947,Intercept],0.95,0.8,median,-0.158404495638197,0.0850043647847582,0.540500628196703,1.02718281686639,1.28060143741774
r_site:id[NYR_D217949,Intercept],0.95,0.8,median,-1.22151073736782,-0.955892903156876,-0.452505677784131,0.0892175127783025,0.356990916184639
r_site:id[NYR_D217961,Intercept],0.95,0.8,median,-0.578123871722712,-0.377689168512371,0.026498981316677,0.452644696679453,0.685974878208073
r_site:id[NYR_D217964,Intercept],0.95,0.8,median,-0.578853241635854,-0.2879264448663,0.199369362860516,0.731357356837164,0.998504074755075
r_site:id[NYR_D217965,Intercept],0.95,0.8,median,0.514383577307015,0.806680273135896,1.32114096535132,1.80273837829065,2.07362670594766
r_site:id[NYR_D229096,Intercept],0.95,0.8,median,-1.07221746892519,-0.825713324175414,-0.388932329249238,0.0649104059065655,0.279265540034281
r_site:id[NYR_D229154,Intercept],0.95,0.8,median,-0.641135273929721,-0.369584482492557,0.0718233266085677,0.531885145836383,0.738726156117011
r_site:id[NYR_D229556,Intercept],0.95,0.8,median,-1.00084027680965,-0.732049511252139,-0.130067561588803,0.451785739099419,0.784332738177927
r_site:id[NYR_D229714,Intercept],0.95,0.8,median,-0.15936284176415,0.158345648029324,0.763788591409106,1.42116089116032,1.82413205745257
r_site:id[NYR_D229716,Intercept],0.95,0.8,median,-0.641187209247173,-0.326350348634445,0.259318789526256,0.858319441198443,1.18259741591629
r_site:id[NYR_D229718,Intercept],0.95,0.8,median,-0.84658494618703,-0.569832756640538,-0.0418585850147273,0.453809604722486,0.736760631494116
r_site:id[NYR_D229770,Intercept],0.95,0.8,median,-0.245222035669589,0.0655055325329988,0.664709687748202,1.33547123147607,1.66282967550181
r_site:id[NYR_D229772,Intercept],0.95,0.8,median,-0.716944354258973,-0.467990610767154,0.067689432629446,0.581090081442598,0.876355497434122
r_site:id[NYR_D229783,Intercept],0.95,0.8,median,-1.22662982517434,-1.00882500461055,-0.552036765972564,-0.0948406695819811,0.143462528164457
r_site:id[NYR_D229784,Intercept],0.95,0.8,median,-0.250582200990109,-0.00713885268544557,0.438978094068517,0.896384917063004,1.13297208377836
r_site:id[NYR_D237276,Intercept],0.95,0.8,median,-0.987127203272067,-0.636258495592307,-0.0188119235733351,0.559031894858461,0.868314403903975
r_site:id[NYR_D237277,Intercept],0.95,0.8,median,-0.889938488968445,-0.573537484401426,0.00696419036184164,0.571924395295646,0.93876231123527
r_site:id[NYR_D237278,Intercept],0.95,0.8,median,-1.20844930973277,-0.855331480145345,-0.236938669987696,0.327734603836192,0.664021611187448
r_site:id[NYR_D237352,Intercept],0.95,0.8,median,-1.41953187959492,-1.06687675547459,-0.437998275645489,0.134771865238141,0.438076734123597
r_site:id[NYR_D237360,Intercept],0.95,0.8,median,-0.79853268526184,-0.474452365991342,0.110671810766904,0.704521394030666,1.01874731011228
r_site:id[NYR_D237361,Intercept],0.95,0.8,median,-1.09873286199948,-0.835701309430186,-0.318011909742451,0.181524734090727,0.453745027764383
r_site:id[NYR_D237378,Intercept],0.95,0.8,median,-1.68178563121405,-1.2877678807675,-0.658364022641198,-0.0493525779266267,0.225191693561103
r_site:id[NYR_D237379,Intercept],0.95,0.8,median,-1.01089464371631,-0.686661767878645,-0.0885637454366943,0.507029953569441,0.797780679872697
r_site:id[NYR_D237391,Intercept],0.95,0.8,median,-0.299779773697935,-0.0437644440582241,0.396757336003262,0.892037613549025,1.13030559714881
r_site:id[NYR_D237394,Intercept],0.95,0.8,median,-1.55352575210015,-1.26686822103441,-0.706348557536552,-0.203539296276361,0.0719375477740236
r_site:id[NYR_D243901,Intercept],0.95,0.8,median,-0.442632381230796,-0.126395322228824,0.462240193428462,1.0585763202244,1.36548353799184
r_site:id[NYR_D243916,Intercept],0.95,0.8,median,-1.04582320247344,-0.667542318535145,-0.0870742189113486,0.498846102919698,0.791653531528817
r_site:id[NYR_D243918,Intercept],0.95,0.8,median,-1.27465859716923,-0.940999900187211,-0.338519604297022,0.258176385917094,0.55442089336041
r_site:id[NYR_D244032,Intercept],0.95,0.8,median,-1.44733566540789,-1.12189188981179,-0.587418867456818,-0.0704679551305852,0.171012970350955
r_site:id[NYR_D244033,Intercept],0.95,0.8,median,0.448146075407265,0.775113650799153,1.49842324917708,2.25695374646786,2.74827652896154
r_site:id[NYR_D244077,Intercept],0.95,0.8,median,-0.920901247621929,-0.579235939132795,0.00698916102020755,0.589079685032979,0.889392870613662
r_site:id[NYR_D244162,Intercept],0.95,0.8,median,-0.740909701461601,-0.408341327579164,0.164269165856538,0.747009251464593,1.08003934763292
r_site:id[NYR_D244163,Intercept],0.95,0.8,median,-1.05776234690926,-0.719951296020559,-0.136603976673612,0.448496593659911,0.752763648840096
r_site:id[NYR_D244168,Intercept],0.95,0.8,median,-0.4337913566394,-0.198512413810915,0.198431484618087,0.5906689732461,0.826231541117634
r_site:id[NYR_D244179,Intercept],0.95,0.8,median,-0.825186430476114,-0.487254638674573,0.0791830260173085,0.67188205471748,0.994154591267281
r_site:id[NYR_D247994,Intercept],0.95,0.8,median,-0.773731982702712,-0.41148820492256,0.179414937324106,0.786796936305872,1.13892775177154
r_site:id[SAA_D229097,Intercept],0.95,0.8,median,-1.24855497482713,-0.955415784721537,-0.437747312624233,0.0924102599827849,0.380469306365338
r_site:id[SAA_D229103,Intercept],0.95,0.8,median,-0.816220352822418,-0.524882882037346,0.0804310527010268,0.681966664305176,0.994630081789387
r_site:id[SAA_D229160,Intercept],0.95,0.8,median,-0.91762511646447,-0.681107695362361,-0.21062965147332,0.23882611152683,0.462740468414509
r_site:id[SAA_D229161,Intercept],0.95,0.8,median,-0.926445936433882,-0.58758205471906,0.00420280603136216,0.582292606809358,0.91898198060194
r_site:id[SAA_D229162,Intercept],0.95,0.8,median,-0.892160133352899,-0.569534764821715,0.0159392139937647,0.611620375246939,0.931164038312253
r_site:id[SAA_D229170,Intercept],0.95,0.8,median,-1.64687567830406,-1.35618973600859,-0.767474283510059,-0.244020215794756,0.0247900628615153
r_site:id[SAA_D229171,Intercept],0.95,0.8,median,-1.07877590935466,-0.793308199832135,-0.287019624958715,0.250653245129006,0.554375179687115
r_site:id[SAA_D229186,Intercept],0.95,0.8,median,-0.925091609186596,-0.674731355265781,-0.229697425478752,0.182657453695214,0.406383185512158
r_site:id[SAA_D229633,Intercept],0.95,0.8,median,-1.15969958885866,-0.812205749046635,-0.195632640361574,0.401415590019638,0.736022499875265
r_site:id[SAA_D229638,Intercept],0.95,0.8,median,-0.782658118519021,-0.482994836830036,0.0975358734742447,0.705261587123819,1.0346812627889
r_site:id[SAA_D229759,Intercept],0.95,0.8,median,-1.01392693169265,-0.713719219668169,-0.211350164715729,0.314148802828934,0.578615472719863
r_site:id[SAA_D229775,Intercept],0.95,0.8,median,-1.15032167542656,-0.814836582895393,-0.210582975829095,0.373866902252235,0.681750795108412
r_site:id[SAA_D229777,Intercept],0.95,0.8,median,-0.537593479596714,-0.265043062824083,0.176111922837301,0.62763417712257,0.871061648279552
r_site:id[SAA_D229780,Intercept],0.95,0.8,median,-0.848485976565946,-0.547910239049729,-0.029084442091457,0.445931658165369,0.713542327852277
r_site:id[SAA_D237232,Intercept],0.95,0.8,median,-0.894944304927919,-0.61884467582034,-0.129484065432537,0.390488514957124,0.652937290465137
r_site:id[SAA_D237233,Intercept],0.95,0.8,median,0.0994669409543406,0.391214221247437,1.03624447553312,1.70475890900646,2.09634437634502
r_site:id[SAA_D237355,Intercept],0.95,0.8,median,-0.623849418737057,-0.309208924285215,0.276738819831653,0.899926029743893,1.23390167550577
r_site:id[SAA_D237369,Intercept],0.95,0.8,median,-0.523463025191037,-0.20281647647105,0.36897051071463,0.988715893043884,1.3589305533869
r_site:id[SAA_D237371,Intercept],0.95,0.8,median,-1.25738614332412,-0.914032799415448,-0.292842057192313,0.301208738409814,0.610447345819561
r_site:id[SAA_D244005,Intercept],0.95,0.8,median,-1.06972174625206,-0.778795640961784,-0.331863564734732,0.137803109578291,0.399062989401699
r_site:id[SAA_D244029,Intercept],0.95,0.8,median,0.719710111617522,1.1393947036857,1.94284049036644,2.82572551110724,3.24280627984036
r_site:id[SAA_D244045,Intercept],0.95,0.8,median,-0.798202253520311,-0.464902913928978,0.114201641147641,0.679920553415939,1.02897520805125
r_site:id[SAA_D244073,Intercept],0.95,0.8,median,-1.03547046531437,-0.722331596454285,-0.118207518664742,0.449954586834956,0.767349180116542
r_site:id[SAA_D244086,Intercept],0.95,0.8,median,-0.824893539058755,-0.555483479441573,0.0479919215896906,0.630792780564988,0.945954521967414
r_site:id[SAA_D244087,Intercept],0.95,0.8,median,-1.01655655771059,-0.701700627409577,-0.117035817399935,0.491055060527724,0.785954578301411
r_site:id[SAA_D244123,Intercept],0.95,0.8,median,-1.09722158926007,-0.786124127677414,-0.209083044134421,0.378463852164758,0.646843389312847
r_site:id[TEE_D154259,Intercept],0.95,0.8,median,-1.1254866694261,-0.857350839953796,-0.34709306291365,0.107784880990155,0.371642279453455
r_site:id[TEE_D154299,Intercept],0.95,0.8,median,-0.745715799155879,-0.48872779719597,0.0387086914647775,0.559743353375559,0.814381884511173
r_site:id[TEE_D211445,Intercept],0.95,0.8,median,-0.740370548778727,-0.496041811846933,-0.0623670986294105,0.403419314690204,0.654737485905593
r_site:id[TEE_D211451,Intercept],0.95,0.8,median,-0.549301343022406,-0.242895024479048,0.336888368533606,0.946298348384145,1.2866053689236
r_site:id[TEE_D217810,Intercept],0.95,0.8,median,-1.14864139400436,-0.794702711169769,-0.215977140732599,0.355641063432149,0.635596824984078
r_site:id[TEE_D217831,Intercept],0.95,0.8,median,-1.13736487062153,-0.896282027933956,-0.363342242462438,0.149917867477703,0.426837799177684
r_site:id[TEE_D217835,Intercept],0.95,0.8,median,-1.02529029840594,-0.755832726226774,-0.30853142556665,0.136476122436116,0.384007139133962
r_site:id[TEE_D217864,Intercept],0.95,0.8,median,-0.703307127534387,-0.410234479830642,0.161977830485778,0.766941807831589,1.02723915712415
r_site:id[TEE_D217993,Intercept],0.95,0.8,median,-1.24485712984655,-0.965999622921333,-0.467011154846602,0.0320310724129294,0.317397256285416
r_site:id[TEE_D229063,Intercept],0.95,0.8,median,-0.424457301472981,-0.119273907274132,0.478193041397576,1.08584701627649,1.41277122085749
r_site:id[TEE_D229155,Intercept],0.95,0.8,median,-0.452741000214544,-0.199971667664144,0.340707139636805,0.87393046081873,1.16331878512697
r_site:id[TEE_D229675,Intercept],0.95,0.8,median,-1.30872762363188,-0.944938832187401,-0.322397264379351,0.249960400215493,0.540636337265487
r_site:id[TEE_D229676,Intercept],0.95,0.8,median,-1.38065753555921,-0.987464582400313,-0.397037087202042,0.182105379285875,0.523021669586369
r_site:id[TEE_D229705,Intercept],0.95,0.8,median,-0.772897660784524,-0.523031814857183,-0.100515776706162,0.342594841014377,0.585345342663893
r_site:id[TEE_D229707,Intercept],0.95,0.8,median,-1.19164952894254,-0.843331726955043,-0.225285549251727,0.369602070230565,0.71261641076926
r_site:id[TEE_D229753,Intercept],0.95,0.8,median,-1.1006115339859,-0.856881117497726,-0.367117672468946,0.115753693692651,0.356419608161937
r_site:id[TEE_D237304,Intercept],0.95,0.8,median,-0.962096682058478,-0.592379255299323,0.0308272268296653,0.622545074686178,0.91927039998875
