parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[KUM_D244147,Intercept]	0.95	0.8	median	-0.44964937688275786	-0.30601523811106085	-0.03271317081760233	0.24448009395093412	0.3761918319120481
r_site:id[KUM_D244183,Intercept]	0.95	0.8	median	-0.6542386189892878	-0.5455876327425334	-0.2992603242563241	-0.06381262097019433	0.07431811876281744
r_site:id[KUM_D244186,Intercept]	0.95	0.8	median	-0.43919981904725475	-0.33529926145184885	-0.1098444874199365	0.10165117005275448	0.2199239017306531
r_site:id[LEH_D211334,Intercept]	0.95	0.8	median	-0.8231864750423581	-0.7009252661234725	-0.4328500833412613	-0.18691598896749603	-0.029255385781839498
r_site:id[LEH_D211489,Intercept]	0.95	0.8	median	-0.33493107261234384	-0.20012428053167597	0.03195242923277551	0.27655762322870964	0.4084099005739006
r_site:id[LEH_D211490,Intercept]	0.95	0.8	median	-0.28449874576011003	-0.1426913063789535	0.1461037899632616	0.43280275717239697	0.5860447702205158
r_site:id[LEH_D217891,Intercept]	0.95	0.8	median	-0.7587484637379089	-0.6156657176759224	-0.3337284155091341	-0.07700205261127474	0.07570409934344216
r_site:id[LEH_D229032,Intercept]	0.95	0.8	median	-0.21503572978313806	-0.09118850330890475	0.1333332511194825	0.355046016097657	0.4726788651167265
r_site:id[LEH_D229051,Intercept]	0.95	0.8	median	-0.6146057781607338	-0.5006438238893358	-0.2815780616784399	-0.06225342836312169	0.04820834992020273
r_site:id[LEH_D229054,Intercept]	0.95	0.8	median	-0.7054046001096631	-0.5631109076709356	-0.2719357272794055	0.004926877555559371	0.15181183142205149
r_site:id[LEH_D229055,Intercept]	0.95	0.8	median	-1.1648384559848972	-0.9800331147165179	-0.6225441321448433	-0.28177273656906987	-0.09607347523277616
r_site:id[LEH_D229056,Intercept]	0.95	0.8	median	-0.7298133121235908	-0.5536106350610983	-0.20611079156477508	0.12638815510634485	0.3065903597423772
r_site:id[LEH_D229133,Intercept]	0.95	0.8	median	-0.8335837271609507	-0.7248412751738441	-0.5033908031884242	-0.2858060211110813	-0.16197733642950093
r_site:id[LEH_D229518,Intercept]	0.95	0.8	median	-0.4753709621130058	-0.3052489118993169	0.04331480033537091	0.38307553605705535	0.5538671126016599
r_site:id[LEH_D229560,Intercept]	0.95	0.8	median	-0.2456322929632936	-0.059095526030870746	0.2587345176911201	0.6040758732974488	0.7754489787919117
r_site:id[LEH_D229630,Intercept]	0.95	0.8	median	-0.6459879020842961	-0.4593202580535764	-0.13242786952722344	0.18636955155889448	0.35436250233103367
r_site:id[LEH_D229646,Intercept]	0.95	0.8	median	-0.019238364331122883	0.12194618970326654	0.3623798702142531	0.6051189828146485	0.7501790522794832
r_site:id[LEH_D229648,Intercept]	0.95	0.8	median	0.004569803723178562	0.14574895496913481	0.41477954615539436	0.6905235852483569	0.845996716112984
r_site:id[LEH_D229740,Intercept]	0.95	0.8	median	-0.16586790645700802	-0.012897363947765986	0.2640210903379626	0.5272993376551757	0.676000846664114
r_site:id[LEH_D229742,Intercept]	0.95	0.8	median	-0.12300730024223959	0.08235591593733872	0.4148835558372058	0.751041064245255	0.930546760969756
r_site:id[LEH_D229776,Intercept]	0.95	0.8	median	-0.3123884973969318	-0.15179218535723674	0.18150492570535898	0.5072239471978426	0.6828375609014118
r_site:id[LEH_D237300,Intercept]	0.95	0.8	median	-0.3525065597210381	-0.17434127524494913	0.16020637257101666	0.48962049860792056	0.6598449329088459
r_site:id[LEH_D237307,Intercept]	0.95	0.8	median	-0.12872447652614966	-2.1309073412822832e-4	0.28035960430852824	0.5640990184393218	0.6917457363772999
r_site:id[LEH_D243906,Intercept]	0.95	0.8	median	-0.8536634390697939	-0.6699302700021406	-0.33778935519825726	0.003956004002426348	0.1693626121689484
r_site:id[LEH_D243907,Intercept]	0.95	0.8	median	-0.798296281164201	-0.6374531845603029	-0.3010387796224516	0.03619492440292037	0.20943137931193453
