parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[NYR_D217911,Intercept]	0.95	0.8	median	-0.7535978112751469	-0.5441459010915822	-0.20502675505725623	0.10501168229031213	0.2857449913595676
r_site:id[NYR_D217947,Intercept]	0.95	0.8	median	-1.0085946575815181	-0.8165782478465243	-0.4819959897870859	-0.15840218527578595	-0.011871869656980649
r_site:id[NYR_D217949,Intercept]	0.95	0.8	median	-0.7071325020262837	-0.5292484882818372	-0.20394933600448156	0.12036409398077405	0.27275060305016996
r_site:id[NYR_D217961,Intercept]	0.95	0.8	median	-0.4288871193697928	-0.2577732168549637	0.043460051642671506	0.36840224925531834	0.5485350816022432
r_site:id[NYR_D217964,Intercept]	0.95	0.8	median	-0.42082708933283314	-0.2509955933655421	0.08894073328003949	0.4369054631903725	0.6558037149075483
r_site:id[NYR_D217965,Intercept]	0.95	0.8	median	-0.6703937740478593	-0.5172895019880623	-0.20893256984911124	0.09260450932405279	0.24420278423097752
r_site:id[NYR_D229082,Intercept]	0.95	0.8	median	-0.6430575565022469	-0.4596368131583426	-0.06535832661377244	0.30860531299303784	0.5189572237254666
r_site:id[NYR_D229093,Intercept]	0.95	0.8	median	-0.5865462196416428	-0.35443805400024386	0.017105540491440203	0.35797494114020845	0.5951366993048354
r_site:id[NYR_D229096,Intercept]	0.95	0.8	median	-0.29601088173211687	-0.14048672043142083	0.14290050363014764	0.43579803607525347	0.6001928038522184
r_site:id[NYR_D229154,Intercept]	0.95	0.8	median	-0.7440878778008564	-0.5408348906297258	-0.17748168801386333	0.17524667392103227	0.3485311412294497
r_site:id[NYR_D229556,Intercept]	0.95	0.8	median	-0.4349710644900976	-0.2595719190679185	0.05511298719160833	0.35846161538151317	0.5315277560498795
r_site:id[NYR_D229714,Intercept]	0.95	0.8	median	-0.6023605522699637	-0.4127866160489059	-0.03646626834901891	0.33852553654847956	0.5431090431889413
