id	gerp_cat	n_total	n_genotyped	gerp_count_t_v2	gerp_Lt_additive
D211482	2-3	421585	416518	74563.5	0.17901627300620862
D211482	3-4	536380	530050	92545	0.17459673615696633
D211482	4-5	404284	400139	60983.5	0.15240578898832655
D211489	0-1	1016065	993388	192243.5	0.19352307456905057
D211489	1-2	536152	528256	98106	0.18571677368548584
D211489	2-3	421585	414849	74744.5	0.18017278576060206
D211489	3-4	536380	525381	91909	0.17493780703908213
D211489	4-5	404284	396697	60695	0.153000904972813
D211490	0-1	1016065	965137	185616.5	0.19232140100317363
D211490	1-2	536152	515666	95800.5	0.1857801367551865
D211490	2-3	421585	406406	72930	0.17945109078114005
D211490	3-4	536380	523371	91609.5	0.17503740176662444
D211490	4-5	404284	397108	60940	0.15345951227373913
D217810	0-1	1016065	989740	191094	0.19307494897649888
D217810	1-2	536152	525523	97843	0.186182146166771
D217810	2-3	421585	413740	74919	0.1810774882776623
D217810	3-4	536380	528422	92579.5	0.1751999349005151
D217810	4-5	404284	399673	61022.5	0.15268106677208618
D217818	0-1	1016065	956687	183270	0.1915673569307412
D217818	1-2	536152	512222	94509.5	0.18450886529668775
D217818	2-3	421585	403567	72291.5	0.17913134622008242
D217818	3-4	536380	521215	91179.5	0.17493644657195206
D217818	4-5	404284	396045	60738.5	0.15336262293426253
D217821	0-1	1016065	961481	185373.5	0.19279996172571273
D217821	1-2	536152	511926	94888.5	0.18535589128116173
D217821	2-3	421585	402696	72417	0.17983044281542404
D217821	3-4	536380	513299	89977.5	0.17529256826917644
D217821	4-5	404284	387345	58911	0.15208922278588854
D217831	0-1	1016065	889368	169389.5	0.19046052927472093
D217831	1-2	536152	464962	85539	0.18396987280681001
D217831	2-3	421585	366104	65196	0.1780805454187881
D217831	3-4	536380	485630	84351.5	0.17369499413133455
D217831	4-5	404284	371295	56597.5	0.15243270176005602
D217835	0-1	1016065	899551	172220	0.1914510683663294
D217835	1-2	536152	489033	90261	0.18457036641699026
D217835	2-3	421585	385415	68968	0.17894477381523813
D217835	3-4	536380	493220	86037.5	0.17444041198653745
D217835	4-5	404284	374191	56808.5	0.15181685289063607
D217864	0-1	1016065	966647	185843	0.19225529071108688
D217864	1-2	536152	517259	95882.5	0.18536651851393596
D217864	2-3	421585	407687	73524	0.18034423467022495
D217864	3-4	536380	524192	91865.5	0.17525162535864722
D217864	4-5	404284	397663	60722	0.15269713299954987
D217870	0-1	1016065	989316	190706.5	0.1927660120729878
D217870	1-2	536152	525716	97393.5	0.18525877089531229
D217870	2-3	421585	413625	74328.5	0.17970021154427318
D217870	3-4	536380	528884	92574.5	0.17503743732084917
D217870	4-5	404284	400102	61158	0.1528560217144628
D217891	0-1	1016065	862352	164131	0.19032947102807207
D217891	1-2	536152	450176	82405	0.1830506290872903
D217891	2-3	421585	355185	63409.5	0.17852527556062334
D217891	3-4	536380	470153	81635.5	0.17363602912243462
D217891	4-5	404284	355577	53964	0.15176459669776166
D217896	0-1	1016065	914961	174934.5	0.19119339512831696
D217896	1-2	536152	478399	88135.5	0.18423010917664961
D217896	2-3	421585	377083	67305.5	0.17848988153801684
D217896	3-4	536380	497257	86647	0.1742499351442011
D217896	4-5	404284	379234	57826	0.15248105391394232
D217897	0-1	1016065	894116	170340.5	0.19051275226033312
D217897	1-2	536152	464057	85157	0.18350547454299795
D217897	2-3	421585	366241	65084	0.17770812115519563
D217897	3-4	536380	487686	84832.5	0.17394901637529067
D217897	4-5	404284	373659	56951.5	0.152415705228564
D217910	0-1	1016065	927697	177474	0.1913059975401451
D217910	1-2	536152	487147	89545.5	0.18381617868938946
D217910	2-3	421585	383842	68571.5	0.17864511960650475
D217910	3-4	536380	501107	87376.5	0.17436695156922574
D217910	4-5	404284	381597	58270.5	0.1527016721829574
D217911	0-1	1016065	934584	178683.5	0.19119041199078948
D217911	1-2	536152	494468	91022	0.18408066851646618
D217911	2-3	421585	389385	69365.5	0.17814117133428356
D217911	3-4	536380	503653	87779	0.17428467615600424
D217911	4-5	404284	381086	58098	0.15245377683777414
D217932	0-1	1016065	847054	161117.5	0.1902092428581885
D217932	1-2	536152	467298	86149.5	0.1843566631999281
D217932	2-3	421585	368544	65685	0.1782283797864027
D217932	3-4	536380	478969	83427.5	0.17418141883921506
D217932	4-5	404284	365609	55776	0.15255641956297575
D217947	0-1	1016065	839157	160201	0.19090706506648936
D217947	1-2	536152	453419	83591	0.18435707370004345
D217947	2-3	421585	357432	63836	0.17859620850959063
D217947	3-4	536380	465245	81267	0.17467570849767328
D217947	4-5	404284	352131	53612	0.15225015690183483
D217949	0-1	1016065	996154	192861.5	0.1936061090955816
D217949	1-2	536152	527583	98048.5	0.18584469173570795
D217949	2-3	421585	415057	74714.5	0.180010215464382
D217949	3-4	536380	529463	92685.5	0.1750556696124186
D217949	4-5	404284	400006	61062	0.15265271020934687
D217961	0-1	1016065	923444	177717.5	0.19245076041427525
D217961	1-2	536152	493743	91191	0.18469325134736087
D217961	2-3	421585	389044	69451	0.17851708290064877
D217961	3-4	536380	500932	87425	0.17452468598532336
D217961	4-5	404284	378633	57797	0.152646494098507
D217964	0-1	1016065	996922	192268.5	0.1928621296350166
D217964	1-2	536152	528040	97974	0.18554276191197636
D217964	2-3	421585	415476	74931.5	0.18035097093454255
D217964	3-4	536380	529367	92555	0.17484089488011154
D217964	4-5	404284	399722	61125	0.152918778551093
D217965	0-1	1016065	947710	182215	0.19226873199607475
D217965	1-2	536152	506406	93660.5	0.1849514026295107
D217965	2-3	421585	398162	71719.5	0.18012643095021624
D217965	3-4	536380	511628	89333.5	0.17460635461702642
D217965	4-5	404284	387743	59055	0.1523044903454092
D217969	0-1	1016065	841316	159483.5	0.18956432541399426
D217969	1-2	536152	442570	80902	0.18280046094403146
D217969	2-3	421585	349320	62178.5	0.17799868315584563
D217969	3-4	536380	469097	81509.5	0.17375830585145502
D217969	4-5	404284	360478	54684	0.15169857799921216
D217977	0-1	1016065	978782	188723	0.19281413021489974
D217977	1-2	536152	519701	96564	0.18580683893238611
D217977	2-3	421585	408754	73216	0.17911995968235173
D217977	3-4	536380	521626	91258.5	0.1749500600046777
D217977	4-5	404284	394238	60362	0.15311055758196826
D217993	0-1	1016065	932661	179398.5	0.19235124016121613
D217993	1-2	536152	501153	93050.5	0.1856728384345699
D217993	2-3	421585	395321	70923.5	0.17940736768347748
D217993	3-4	536380	515321	90423.5	0.1754702408789861
D217993	4-5	404284	393025	60332.5	0.15350804656192354
D229025	0-1	1016065	913167	174548.5	0.19114630730195026
D229025	1-2	536152	492774	90852	0.18436849346759365
D229025	2-3	421585	388655	69652	0.17921292663158842
D229025	3-4	536380	503445	87844	0.17448579288700852
D229025	4-5	404284	382736	58392.5	0.1525659984950462
D229032	0-1	1016065	848564	161711.5	0.19057077604046366
D229032	1-2	536152	446003	82003	0.18386199195969533
D229032	2-3	421585	350610	62612	0.17858018881378168
D229032	3-4	536380	465707	80803	0.1735060885921835
D229032	4-5	404284	358040	54326.5	0.15173304658697354
D229043	0-1	1016065	810354	153292.5	0.18916732687195967
D229043	1-2	536152	413654	75603.5	0.18276989948120892
D229043	2-3	421585	326477	57959	0.1775285854746276
D229043	3-4	536380	450329	78043.5	0.17330329603467687
D229043	4-5	404284	348131	53042.5	0.1523636217400921
D229051	0-1	1016065	766377	145132	0.1893741591931908
D229051	1-2	536152	396136	72335	0.18260142981198377
D229051	2-3	421585	314244	55851.5	0.1777329081859956
D229051	3-4	536380	439002	76240.5	0.17366777372312656
D229051	4-5	404284	339780	51784.5	0.15240596856789687
D229054	0-1	1016065	900934	172225.5	0.19116328166103178
D229054	1-2	536152	476368	87677	0.1840530850099083
D229054	2-3	421585	375705	67275.5	0.17906469171291306
D229054	3-4	536380	492688	85973	0.17449785665573345
D229054	4-5	404284	375902	57443.5	0.15281509542380728
D229055	0-1	1016065	855541	162839	0.19033453686030244
D229055	1-2	536152	454725	83815.5	0.18432129308922976
D229055	2-3	421585	358528	63958	0.1783905301677972
D229055	3-4	536380	477955	83292.5	0.1742684980803632
D229055	4-5	404284	366243	55849.5	0.15249301693138162
D229056	0-1	1016065	969147	186373.5	0.1923067398444199
D229056	1-2	536152	513512	95251.5	0.18549030986617646
D229056	2-3	421585	404341	72559	0.17945001867235824
D229056	3-4	536380	521583	91251	0.1749501038185677
D229056	4-5	404284	395742	60574	0.15306437022100258
D229063	0-1	1016065	917451	175561.5	0.19135790358286164
D229063	1-2	536152	485242	89317.5	0.18406794960040557
D229063	2-3	421585	382481	68271	0.17849514093510527
D229063	3-4	536380	496282	86254.5	0.17380138711458404
D229063	4-5	404284	375809	57154	0.15208257386065793
D229082	0-1	1016065	901664	172525	0.19134067679312916
D229082	1-2	536152	473088	87122	0.18415601325757575
D229082	2-3	421585	373031	66625.5	0.1786057995180025
D229082	3-4	536380	487074	84769.5	0.17403823648973257
D229082	4-5	404284	367742	55742.5	0.15158045586307792
D229093	0-1	1016065	972967	186996.5	0.19219202706772173
D229093	1-2	536152	514424	95164	0.18499136898745003
D229093	2-3	421585	405084	72988.5	0.18018114761382825
D229093	3-4	536380	518263	90449.5	0.17452432452249148
D229093	4-5	404284	390957	59666	0.1526152492473597
D229096	0-1	1016065	966873	185947	0.19231791558974137
D229096	1-2	536152	510124	94570.5	0.18538727838721566
D229096	2-3	421585	401739	72028	0.17929053440168866
D229096	3-4	536380	515357	89533.5	0.1737310252892655
D229096	4-5	404284	390217	59129.5	0.15152978983488674
D229097	0-1	1016065	942736	180230.5	0.191178124098369
D229097	1-2	536152	498944	91619.5	0.18362681984350948
D229097	2-3	421585	393437	70386.5	0.17890157763504702
D229097	3-4	536380	506966	88294.5	0.17416256711495445
D229097	4-5	404284	383752	58237	0.15175686380787592
D229103	0-1	1016065	856917	163010.5	0.19022904201923874
D229103	1-2	536152	438964	80586.5	0.1835833918043393
D229103	2-3	421585	346637	61962.5	0.1787532779247455
D229103	3-4	536380	474789	82885	0.17457228368812253
D229103	4-5	404284	368101	56154	0.1525505228184656
D229126	0-1	1016065	968611	186407	0.19244774217926494
D229126	1-2	536152	513025	95094.5	0.18536036255543104
D229126	2-3	421585	403937	72340	0.179087332925679
D229126	3-4	536380	518358	90716.5	0.17500742729927965
D229126	4-5	404284	393192	60138.5	0.1529494496327494
D229133	0-1	1016065	939313	180201.5	0.19184393274659245
D229133	1-2	536152	502876	92962.5	0.18486167564170888
D229133	2-3	421585	395573	70843	0.17908957385868096
D229133	3-4	536380	503663	87663	0.17405090308400656
D229133	4-5	404284	379756	57728	0.15201339807665976
D229154	0-1	1016065	959867	184724.5	0.19244801623558264
D229154	1-2	536152	509405	94152.5	0.18482837820594616
D229154	2-3	421585	401151	71845	0.17909714795675444
D229154	3-4	536380	516609	90387.5	0.17496307652402493
D229154	4-5	404284	391510	59715	0.15252483972312328
D229155	0-1	1016065	972306	187056	0.19238387914915675
D229155	1-2	536152	516176	95555.5	0.185121935153901
D229155	2-3	421585	406421	72799.5	0.17912337206984874
D229155	3-4	536380	520440	90824	0.17451387287679657
D229155	4-5	404284	393596	60321.5	0.15325740098984747
D229160	0-1	1016065	911483	173915	0.19080443628679855
D229160	1-2	536152	475260	87225.5	0.1835321718638219
D229160	2-3	421585	374835	67026	0.17881467845852175
