id	gerp_cat	n_total	n_genotyped	gerp_count_p	gerp_count_r	gerp_count_t	gerp_Lp	gerp_Lr	gerp_Lt
D217977	2-3	421585	408754	67098	39667	106765	0.16415252205483005	0.09704369865493671	0.2611962207097668
D217977	3-4	536380	521626	81743	50387	132130	0.15670806286496455	0.0965960285721954	0.25330409143716
D217977	4-5	404284	394238	55128	32798	87926	0.1398343132828393	0.0831934009405486	0.2230277142233879
D217993	0-1	1016065	932661	155937	101430	257367	0.16719579783007973	0.10875334124617626	0.275949139076256
D217993	1-2	536152	501153	84015	51043	135058	0.16764341428665497	0.10185113129124239	0.26949454557789737
D217993	2-3	421585	395321	64319	38764	103083	0.16270069133691353	0.0980570220150207	0.26075771335193426
D217993	3-4	536380	515321	80383	50232	130615	0.1559862687528744	0.0974771065025489	0.25346337525542334
D217993	4-5	404284	393025	54827	32919	87746	0.13950003180459258	0.08375803065962725	0.22325806246421984
D229025	0-1	1016065	913167	142081	103508	245589	0.15559147450575853	0.11335057004907098	0.2689420445548295
D229025	1-2	536152	492774	75384	53160	128544	0.15297885034518865	0.10787906829499933	0.260857918640188
D229025	2-3	421585	388655	58052	40626	98678	0.14936640465194068	0.10452972430561809	0.25389612895755875
D229025	3-4	536380	503445	72968	51360	124328	0.14493738144186555	0.10201710216607573	0.24695448360794128
D229025	4-5	404284	382736	49919	33433	83352	0.1304267171104887	0.08735263993980184	0.21777935705029053
D229032	0-1	1016065	848564	139985	91719	231704	0.16496693237045174	0.10808730985523779	0.2730542422256895
D229032	1-2	536152	446003	73194	45406	118600	0.164111003737643	0.10180649009087382	0.26591749382851687
D229032	2-3	421585	350610	56160	34532	90692	0.16017797552836485	0.09849120104959927	0.2586691765779641
D229032	3-4	536380	465707	71140	45233	116373	0.15275699098360127	0.09712759310038285	0.24988458408398415
D229032	4-5	404284	358040	48567	30043	78610	0.13564685509998883	0.0839096190369791	0.21955647413696794
D229043	0-1	1016065	810354	128417	89084	217501	0.1584702488048433	0.109932202469538	0.26840245127438134
D229043	1-2	536152	413654	64979	43114	108093	0.1570853902053407	0.10422720437853858	0.2613125945838793
D229043	2-3	421585	326477	50622	32648	83270	0.15505533314751116	0.10000091890087204	0.25505625204838317
