     11 ScEsiA3_1091;HRSCAF=1697
     21 ScEsiA3_10921;HRSCAF=11919
      6 ScEsiA3_10923;HRSCAF=11923
     12 ScEsiA3_10924;HRSCAF=11924
     33 ScEsiA3_10925;HRSCAF=11925
     13 ScEsiA3_10927;HRSCAF=11929
     10 ScEsiA3_10930;HRSCAF=11934
     65 ScEsiA3_10933;HRSCAF=11940
      6 ScEsiA3_10935;HRSCAF=11944
      6 ScEsiA3_10939;HRSCAF=11948
      4 ScEsiA3_10940;HRSCAF=11949
     39 ScEsiA3_10942;HRSCAF=11951
      9 ScEsiA3_10945;HRSCAF=11957
     39 ScEsiA3_10946;HRSCAF=11958
      5 ScEsiA3_10947;HRSCAF=11959
      3 ScEsiA3_10951;HRSCAF=11966
     26 ScEsiA3_10961;HRSCAF=11977
     11 ScEsiA3_10965;HRSCAF=11983
      2 ScEsiA3_10968;HRSCAF=11987
      2 ScEsiA3_10970;HRSCAF=11990
     17 ScEsiA3_10974;HRSCAF=11994
      9 ScEsiA3_10981;HRSCAF=12005
      3 ScEsiA3_10985;HRSCAF=12013
      2 ScEsiA3_1098;HRSCAF=1704
      1 ScEsiA3_10992;HRSCAF=12021
      1 ScEsiA3_10997;HRSCAF=12027
     41 ScEsiA3_10998;HRSCAF=12028
      2 ScEsiA3_10;HRSCAF=160
     17 ScEsiA3_11000;HRSCAF=12031
     10 ScEsiA3_11001;HRSCAF=12032
      4 ScEsiA3_11002;HRSCAF=12033
     32 ScEsiA3_11008;HRSCAF=12041
      9 ScEsiA3_11010;HRSCAF=12043
      4 ScEsiA3_11012;HRSCAF=12046
     36 ScEsiA3_11014;HRSCAF=12048
     65 ScEsiA3_11023;HRSCAF=12057
      6 ScEsiA3_11029;HRSCAF=12063
      8 ScEsiA3_11035;HRSCAF=12069
      5 ScEsiA3_11037;HRSCAF=12071
      9 ScEsiA3_11042;HRSCAF=12078
     14 ScEsiA3_11045;HRSCAF=12081
     30 ScEsiA3_11047;HRSCAF=12083
     20 ScEsiA3_11054;HRSCAF=12091
     25 ScEsiA3_11055;HRSCAF=12092
      7 ScEsiA3_11056;HRSCAF=12093
      4 ScEsiA3_11058;HRSCAF=12095
      4 ScEsiA3_11060;HRSCAF=12097
     19 ScEsiA3_11062;HRSCAF=12099
     16 ScEsiA3_11067;HRSCAF=12104
      8 ScEsiA3_11069;HRSCAF=12106
     20 ScEsiA3_11071;HRSCAF=12108
      2 ScEsiA3_11074;HRSCAF=12111
      3 ScEsiA3_11077;HRSCAF=12114
     23 ScEsiA3_11078;HRSCAF=12115
     12 ScEsiA3_11081;HRSCAF=12118
     27 ScEsiA3_11087;HRSCAF=12124
      1 ScEsiA3_1108;HRSCAF=1715
      3 ScEsiA3_11092;HRSCAF=12129
      7 ScEsiA3_11094;HRSCAF=12131
      5 ScEsiA3_11099;HRSCAF=12136
      3 ScEsiA3_110;HRSCAF=444
     11 ScEsiA3_11102;HRSCAF=12139
      4 ScEsiA3_11103;HRSCAF=12140
     13 ScEsiA3_11108;HRSCAF=12145
      6 ScEsiA3_11109;HRSCAF=12146
      2 ScEsiA3_1110;HRSCAF=1717
     12 ScEsiA3_11110;HRSCAF=12147
     14 ScEsiA3_11116;HRSCAF=12153
      1 ScEsiA3_1111;HRSCAF=1718
     16 ScEsiA3_11121;HRSCAF=12158
      5 ScEsiA3_11125;HRSCAF=12162
      2 ScEsiA3_11128;HRSCAF=12165
      7 ScEsiA3_11130;HRSCAF=12167
      1 ScEsiA3_11132;HRSCAF=12169
      2 ScEsiA3_11133;HRSCAF=12170
     28 ScEsiA3_11135;HRSCAF=12172
      1 ScEsiA3_11137;HRSCAF=12174
      2 ScEsiA3_1114;HRSCAF=1721
      5 ScEsiA3_11164;HRSCAF=12203
     12 ScEsiA3_11168;HRSCAF=12207
      5 ScEsiA3_11172;HRSCAF=12211
     14 ScEsiA3_111;HRSCAF=445
      1 ScEsiA3_1125;HRSCAF=1732
     18 ScEsiA3_11298;HRSCAF=12338
      7 ScEsiA3_1129;HRSCAF=1736
      4 ScEsiA3_11324;HRSCAF=12366
      1 ScEsiA3_1133;HRSCAF=1740
      2 ScEsiA3_1136;HRSCAF=1743
      3 ScEsiA3_11379;HRSCAF=12422
      2 ScEsiA3_1138;HRSCAF=1745
      4 ScEsiA3_11395;HRSCAF=12441
     56 ScEsiA3_113;HRSCAF=448
     29 ScEsiA3_11402;HRSCAF=12449
     17 ScEsiA3_11406;HRSCAF=12454
     18 ScEsiA3_11443;HRSCAF=12491
      9 ScEsiA3_1145;HRSCAF=1753
      9 ScEsiA3_11467;HRSCAF=12518
      1 ScEsiA3_11469;HRSCAF=12520
     12 ScEsiA3_11471;HRSCAF=12522
     26 ScEsiA3_11481;HRSCAF=12532
     63 ScEsiA3_11483;HRSCAF=12534
      6 ScEsiA3_11486;HRSCAF=12537
      6 ScEsiA3_11489;HRSCAF=12540
      7 ScEsiA3_11490;HRSCAF=12541
      9 ScEsiA3_11498;HRSCAF=12549
     18 ScEsiA3_114;HRSCAF=450
     34 ScEsiA3_11505;HRSCAF=12556
     33 ScEsiA3_11519;HRSCAF=12571
      6 ScEsiA3_11564;HRSCAF=12616
      9 ScEsiA3_11567;HRSCAF=12619
      3 ScEsiA3_1160;HRSCAF=1769
     13 ScEsiA3_11617;HRSCAF=12669
     19 ScEsiA3_11630;HRSCAF=12682
      5 ScEsiA3_1164;HRSCAF=1773
     14 ScEsiA3_11654;HRSCAF=12707
      1 ScEsiA3_1165;HRSCAF=1774
      1 ScEsiA3_1166;HRSCAF=1775
      5 ScEsiA3_11674;HRSCAF=12728
     30 ScEsiA3_11675;HRSCAF=12730
      2 ScEsiA3_11683;HRSCAF=12740
      4 ScEsiA3_1169;HRSCAF=1778
      7 ScEsiA3_116;HRSCAF=452
     17 ScEsiA3_11718;HRSCAF=12776
      7 ScEsiA3_11720;HRSCAF=12778
     15 ScEsiA3_11724;HRSCAF=12782
     15 ScEsiA3_11735;HRSCAF=12794
     31 ScEsiA3_11759;HRSCAF=12818
      9 ScEsiA3_11760;HRSCAF=12819
     42 ScEsiA3_11761;HRSCAF=12820
      8 ScEsiA3_11775;HRSCAF=12834
     12 ScEsiA3_11777;HRSCAF=12836
      3 ScEsiA3_1177;HRSCAF=1786
      3 ScEsiA3_11787;HRSCAF=12846
      6 ScEsiA3_11791;HRSCAF=12850
      1 ScEsiA3_11854;HRSCAF=12914
     16 ScEsiA3_1186;HRSCAF=1795
      4 ScEsiA3_1187;HRSCAF=1796
     11 ScEsiA3_11903;HRSCAF=12963
      6 ScEsiA3_11909;HRSCAF=12969
     31 ScEsiA3_11912;HRSCAF=12973
      2 ScEsiA3_1194;HRSCAF=1803
     11 ScEsiA3_11971;HRSCAF=13032
     12 ScEsiA3_11974;HRSCAF=13036
      7 ScEsiA3_11984;HRSCAF=13047
      1 ScEsiA3_11985;HRSCAF=13048
      6 ScEsiA3_11992;HRSCAF=13055
    272 ScEsiA3_11;HRSCAF=178
      2 ScEsiA3_1200;HRSCAF=1809
      2 ScEsiA3_12016;HRSCAF=13080
      3 ScEsiA3_12018;HRSCAF=13082
      2 ScEsiA3_12022;HRSCAF=13087
     22 ScEsiA3_12023;HRSCAF=13088
     28 ScEsiA3_12033;HRSCAF=13098
     34 ScEsiA3_12037;HRSCAF=13103
      2 ScEsiA3_12038;HRSCAF=13104
      8 ScEsiA3_12042;HRSCAF=13116
      4 ScEsiA3_12043;HRSCAF=13117
     20 ScEsiA3_12046;HRSCAF=13121
      2 ScEsiA3_12051;HRSCAF=13133
     47 ScEsiA3_12055;HRSCAF=13141
      3 ScEsiA3_12056;HRSCAF=13142
     14 ScEsiA3_12057;HRSCAF=13143
      2 ScEsiA3_12058;HRSCAF=13149
      9 ScEsiA3_12060;HRSCAF=13157
      2 ScEsiA3_12061;HRSCAF=13161
      2 ScEsiA3_12066;HRSCAF=13175
      2 ScEsiA3_12069;HRSCAF=13181
      2 ScEsiA3_1206;HRSCAF=1815
      2 ScEsiA3_12071;HRSCAF=13187
      1 ScEsiA3_12072;HRSCAF=13194
      8 ScEsiA3_12074;HRSCAF=13198
      5 ScEsiA3_12077;HRSCAF=13202
      4 ScEsiA3_12078;HRSCAF=13206
      5 ScEsiA3_12079;HRSCAF=13213
     12 ScEsiA3_1207;HRSCAF=1816
      2 ScEsiA3_12080;HRSCAF=13214
     53 ScEsiA3_12081;HRSCAF=13215
      2 ScEsiA3_12083;HRSCAF=13219
      2 ScEsiA3_12084;HRSCAF=13221
     10 ScEsiA3_12085;HRSCAF=13222
     20 ScEsiA3_12086;HRSCAF=13230
      3 ScEsiA3_12088;HRSCAF=13236
      3 ScEsiA3_12089;HRSCAF=13239
      5 ScEsiA3_12090;HRSCAF=13240
      4 ScEsiA3_12091;HRSCAF=13241
     19 ScEsiA3_12092;HRSCAF=13249
     37 ScEsiA3_12094;HRSCAF=13255
      1 ScEsiA3_12095;HRSCAF=13258
      6 ScEsiA3_12097;HRSCAF=13260
      4 ScEsiA3_12098;HRSCAF=13262
     34 ScEsiA3_12099;HRSCAF=13263
      2 ScEsiA3_12100;HRSCAF=13264
      4 ScEsiA3_12104;HRSCAF=13271
      8 ScEsiA3_12105;HRSCAF=13274
      2 ScEsiA3_12111;HRSCAF=13285
      4 ScEsiA3_12112;HRSCAF=13287
  11215 ScEsiA3_12113;HRSCAF=13291
      9 ScEsiA3_12114;HRSCAF=13292
      4 ScEsiA3_12116;HRSCAF=13298
     14 ScEsiA3_12117;HRSCAF=13300
      6 ScEsiA3_12118;HRSCAF=13302
      4 ScEsiA3_12119;HRSCAF=13304
     14 ScEsiA3_12121;HRSCAF=13308
      4 ScEsiA3_12123;HRSCAF=13311
      2 ScEsiA3_12124;HRSCAF=13316
      6 ScEsiA3_12125;HRSCAF=13322
      6 ScEsiA3_12126;HRSCAF=13324
     40 ScEsiA3_12131;HRSCAF=13332
     16 ScEsiA3_12133;HRSCAF=13335
      8 ScEsiA3_12136;HRSCAF=13347
     11 ScEsiA3_12138;HRSCAF=13353
      3 ScEsiA3_12140;HRSCAF=13355
      4 ScEsiA3_12141;HRSCAF=13357
     18 ScEsiA3_12142;HRSCAF=13359
      6 ScEsiA3_12143;HRSCAF=13360
     35 ScEsiA3_12144;HRSCAF=13367
     10 ScEsiA3_12147;HRSCAF=13376
      1 ScEsiA3_12148;HRSCAF=13383
      9 ScEsiA3_12149;HRSCAF=13384
      4 ScEsiA3_12150;HRSCAF=13385
     15 ScEsiA3_12152;HRSCAF=13394
      4 ScEsiA3_12153;HRSCAF=13401
      7 ScEsiA3_12155;HRSCAF=13408
      9 ScEsiA3_12157;HRSCAF=13410
     15 ScEsiA3_12159;HRSCAF=13414
     13 ScEsiA3_12161;HRSCAF=13417
      9 ScEsiA3_12164;HRSCAF=13420
      2 ScEsiA3_12167;HRSCAF=13427
      9 ScEsiA3_12168;HRSCAF=13433
     12 ScEsiA3_12169;HRSCAF=13440
      2 ScEsiA3_12171;HRSCAF=13448
     10 ScEsiA3_12173;HRSCAF=13454
     13 ScEsiA3_12174;HRSCAF=13457
     17 ScEsiA3_12175;HRSCAF=13458
      5 ScEsiA3_12178;HRSCAF=13464
     12 ScEsiA3_12183;HRSCAF=13480
     10 ScEsiA3_12184;HRSCAF=13482
      3 ScEsiA3_12186;HRSCAF=13489
      5 ScEsiA3_12187;HRSCAF=13494
     31 ScEsiA3_12188;HRSCAF=13495
     40 ScEsiA3_12190;HRSCAF=13498
     50 ScEsiA3_12191;HRSCAF=13499
      5 ScEsiA3_12193;HRSCAF=13506
      2 ScEsiA3_12196;HRSCAF=13523
      2 ScEsiA3_12198;HRSCAF=13525
      2 ScEsiA3_12199;HRSCAF=13527
     15 ScEsiA3_1219;HRSCAF=1828
      1 ScEsiA3_121;HRSCAF=458
     20 ScEsiA3_12200;HRSCAF=13528
      2 ScEsiA3_12203;HRSCAF=13532
 173236 ScEsiA3_12205;HRSCAF=13534
      5 ScEsiA3_12206;HRSCAF=13535
     13 ScEsiA3_12208;HRSCAF=13537
      9 ScEsiA3_12209;HRSCAF=13538
      6 ScEsiA3_1220;HRSCAF=1829
     35 ScEsiA3_12211;HRSCAF=13543
