X,loc,file,id_k,E,L,run,rawid,id
95,/vol/cluster-data/rchen/wgr/data/processed/D229759k_E100042332_L01_ANIscleR181558-643.sorted.bam,D229759k_E100042332_L01_ANIscleR181558-643.sorted.bam,D229759k,E100042332,L01,ANIscleR181558-643.sorted.bam,D229759,D229759
96,/vol/cluster-data/rchen/wgr/data/processed/D229770k_E100042332_L01_ANIscleR181543-769.sorted.bam,D229770k_E100042332_L01_ANIscleR181543-769.sorted.bam,D229770k,E100042332,L01,ANIscleR181543-769.sorted.bam,D229770,D229770
97,/vol/cluster-data/rchen/wgr/data/processed/D229771k_E100048304_L01_ANIqvhbR216083-666.sorted.bam,D229771k_E100048304_L01_ANIqvhbR216083-666.sorted.bam,D229771k,E100048304,L01,ANIqvhbR216083-666.sorted.bam,D229771,D229771
98,/vol/cluster-data/rchen/wgr/data/processed/D229772_E100037246_L1_ANIbthxR167795-768.sorted.bam,D229772_E100037246_L1_ANIbthxR167795-768.sorted.bam,D229772,E100037246,L1,ANIbthxR167795-768.sorted.bam,D229772,D229772
99,/vol/cluster-data/rchen/wgr/data/processed/D229775_E100046248_L01_LYRfjwqR198712-416.sorted.bam,D229775_E100046248_L01_LYRfjwqR198712-416.sorted.bam,D229775,E100046248,L01,LYRfjwqR198712-416.sorted.bam,D229775,D229775
100,/vol/cluster-data/rchen/wgr/data/processed/D229776k_E100048304_L01_ANIqvhbR216084-674.sorted.bam,D229776k_E100048304_L01_ANIqvhbR216084-674.sorted.bam,D229776k,E100048304,L01,ANIqvhbR216084-674.sorted.bam,D229776,D229776
101,/vol/cluster-data/rchen/wgr/data/processed/D229780_E100041924_L01_ANIscleR181616-744.sorted.bam,D229780_E100041924_L01_ANIscleR181616-744.sorted.bam,D229780,E100041924,L01,ANIscleR181616-744.sorted.bam,D229780,D229780
102,/vol/cluster-data/rchen/wgr/data/processed/D229783k_E100048304_L01_ANIqvhbR216085-681.sorted.bam,D229783k_E100048304_L01_ANIqvhbR216085-681.sorted.bam,D229783k,E100048304,L01,ANIqvhbR216085-681.sorted.bam,D229783,D229783
103,/vol/cluster-data/rchen/wgr/data/processed/D229784k_E100046248_L01_LYRfjwqR198706-410.sorted.bam,D229784k_E100046248_L01_LYRfjwqR198706-410.sorted.bam,D229784k,E100046248,L01,LYRfjwqR198706-410.sorted.bam,D229784,D229784
104,/vol/cluster-data/rchen/wgr/data/processed/D237206k_E100042332_L01_ANIscleR181559-648.sorted.bam,D237206k_E100042332_L01_ANIscleR181559-648.sorted.bam,D237206k,E100042332,L01,ANIscleR181559-648.sorted.bam,D237206,D237206
105,/vol/cluster-data/rchen/wgr/data/processed/D237232k_E100041398_L01_ANIscleR181560-657.sorted.bam,D237232k_E100041398_L01_ANIscleR181560-657.sorted.bam,D237232k,E100041398,L01,ANIscleR181560-657.sorted.bam,D237232,D237232
106,/vol/cluster-data/rchen/wgr/data/processed/D237233_E100041924_L01_ANIscleR181617-746.sorted.bam,D237233_E100041924_L01_ANIscleR181617-746.sorted.bam,D237233,E100041924,L01,ANIscleR181617-746.sorted.bam,D237233,D237233
107,/vol/cluster-data/rchen/wgr/data/processed/D237235k_E100041398_L01_ANIscleR181561-702.sorted.bam,D237235k_E100041398_L01_ANIscleR181561-702.sorted.bam,D237235k,E100041398,L01,ANIscleR181561-702.sorted.bam,D237235,D237235
108,/vol/cluster-data/rchen/wgr/data/processed/D237258_E100041924_L01_ANIscleR181618-747.sorted.bam,D237258_E100041924_L01_ANIscleR181618-747.sorted.bam,D237258,E100041924,L01,ANIscleR181618-747.sorted.bam,D237258,D237258
109,/vol/cluster-data/rchen/wgr/data/processed/D237276_E100048217_L01_ANIqvhbR216103-612.sorted.bam,D237276_E100048217_L01_ANIqvhbR216103-612.sorted.bam,D237276,E100048217,L01,ANIqvhbR216103-612.sorted.bam,D237276,D237276
110,/vol/cluster-data/rchen/wgr/data/processed/D237277_E100046248_L01_LYRfjwqR198713-603.sorted.bam,D237277_E100046248_L01_LYRfjwqR198713-603.sorted.bam,D237277,E100046248,L01,LYRfjwqR198713-603.sorted.bam,D237277,D237277
111,/vol/cluster-data/rchen/wgr/data/processed/D237278k_E100042332_L01_ANIscleR181547-611.sorted.bam,D237278k_E100042332_L01_ANIscleR181547-611.sorted.bam,D237278k,E100042332,L01,ANIscleR181547-611.sorted.bam,D237278,D237278
