"id"	"het_load"	"hom_load"	"total_load"	"loadtype"
"D229165"	0.150857142857143	0.0902857142857143	0.165714285714286	"high"
"D229186"	0.143589743589744	0.0916666666666667	0.163461538461538	"high"
"D229192"	0.142022082701884	0.0982896730894133	0.169300714440355	"high"
"D229193"	0.143886512046836	0.0835397433010583	0.155482999324476	"high"
"D229512"	0.146275569278271	0.0943651099961405	0.167502894635276	"high"
"D229599"	0.156999226604795	0.0902938901778809	0.168793503480278	"high"
"D229633"	0.154794234384792	0.0923334029663672	0.169730520158763	"high"
"D229648"	0.150587329096861	0.0905064509917196	0.16580011554015	"high"
"D229658"	0.147394136807818	0.0893729641693811	0.16307003257329	"high"
"D229676"	0.146679499518768	0.0920115495668912	0.165351299326275	"high"
"D229679"	0.144468546637744	0.0926247288503254	0.164859002169197	"high"
"D229705"	0.143465045592705	0.0891590678824721	0.160891590678825	"high"
"D229707"	0.143730283911672	0.0906940063091483	0.162559148264984	"high"
"D229714"	0.149947423764458	0.0900105152471083	0.164984227129338	"high"
"D229716"	0.143465634075508	0.0952565343659245	0.166989351403679	"high"
"D229718"	0.136206233166603	0.093305117352828	0.161408233936129	"high"
"D229721"	0.149641403372747	0.0895522388059701	0.164372940492343	"high"
"D229734"	0.142018779342723	0.0964397496087637	0.167449139280125	"high"
"D229737"	0.131624590479861	0.0980921179418	0.163904413181731	"high"
"D229740"	0.151839870602507	0.0944197331176709	0.170339668418924	"high"
"D229742"	0.151563433578968	0.09061939852619	0.166401115315674	"high"
"D229759"	0.145331475214016	0.0919769062313359	0.164642643838344	"high"
"D229770"	0.146919431279621	0.0910776839068617	0.164537399546672	"high"
"D229771"	0.146255850234009	0.0877535101404056	0.16088143525741	"high"
"D229772"	0.138461538461538	0.0920814479638009	0.16131221719457	"high"
"D229775"	0.146084337349398	0.0938037865748709	0.16684595524957	"high"
"D229776"	0.154010487473296	0.0938046222567489	0.170809865993397	"high"
"D229780"	0.145401174168297	0.0939334637964775	0.166634050880626	"high"
"D229783"	0.146312684365782	0.0969518190757129	0.170108161258604	"high"
"D229784"	0.143648763853367	0.0893009377664109	0.161125319693095	"high"
"D237206"	0.137707419416365	0.0959374403967194	0.164791150104902	"high"
"D237232"	0.150048780487805	0.0870243902439024	0.162048780487805	"high"
"D237233"	0.149147727272727	0.0898944805194805	0.164468344155844	"high"
"D237235"	0.149173394848135	0.0926566705113418	0.167243367935409	"high"
"D237258"	0.145623235175474	0.0966115369100444	0.169423154497781	"high"
"D237276"	0.149836423118866	0.0931297709923664	0.168047982551799	"high"
"D237277"	0.150234741784038	0.0932843437436211	0.16840171463564	"high"
"D237278"	0.149279538904899	0.09164265129683	0.16628242074928	"high"
"D237300"	0.155982905982906	0.0911033411033411	0.169094794094794	"high"
"D237304"	0.150227932034811	0.0917944467467882	0.166908412764194	"high"
"D237307"	0.139312977099237	0.0901187446988974	0.159775233248516	"high"
"D237310"	0.148697309891972	0.0883287439101885	0.162677398856175	"high"
"D237311"	0.14416429442863	0.0959739731598211	0.168056120374136	"high"
"D237313"	0.156776416539051	0.0915007656967841	0.169888973966309	"high"
"D237325"	0.148305084745763	0.0918721109399075	0.166024653312789	"high"
"D237327"	0.147863752707226	0.0909627879503839	0.164894664303997	"high"
"D237337"	0.149700598802395	0.0913656557852038	0.166215955186401	"high"
"D237339"	0.147795688483201	0.0934161973198679	0.167314041561468	"high"
"D237340"	0.144848954298993	0.0946940356312936	0.16711851278079	"high"
"D237352"	0.132793017456359	0.0980881130507066	0.164484621778886	"high"
"D237355"	0.14234306277489	0.0953618552578968	0.166533386645342	"high"
"D237360"	0.141647421093149	0.0914164742109315	0.162240184757506	"high"
"D237361"	0.140932642487047	0.0947150259067358	0.165181347150259	"high"
"D237369"	0.148207490486681	0.0909272982175045	0.165031043460845	"high"
"D237370"	0.136354231326298	0.0972480860749017	0.165425201738051	"high"
"D237371"	0.147577092511013	0.0893071686023228	0.163095714857829	"high"
"D237378"	0.138373470193447	0.0963284642716147	0.165515199368338	"high"
"D237379"	0.150519848771267	0.0864839319470699	0.161743856332703	"high"
"D237385"	0.144303797468354	0.0909444985394352	0.163096397273612	"high"
"D237389"	0.144824707846411	0.0916110183639399	0.164023372287145	"high"
"D237391"	0.154817404817405	0.0881895881895882	0.165598290598291	"high"
"D237394"	0.151193633952255	0.0901856763925729	0.1657824933687	"high"
