id	n_total	n_genotyped	load_p	load_r	load_t
D217810	5130	4937	0.14117885355479035	0.08162851934373101	0.22280737289852137
D217818	5130	4527	0.14049039098740887	0.08305721228186437	0.22354760326927325
D217821	5130	4814	0.14478604071458248	0.08849189862899876	0.2332779393435812
D217831	5130	4584	0.1380890052356021	0.07984293193717278	0.21793193717277487
D217835	5130	4376	0.14145338208409505	0.08523765996343693	0.226691042047532
D217864	5130	4638	0.13777490297542044	0.08279430789133248	0.2205692108667529
D217870	5130	4899	0.13921208409879568	0.0838946723821188	0.22310675648091446
D217891	5130	4398	0.1341518872214643	0.08117326057298772	0.21532514779445203
D217896	5130	4690	0.1394456289978678	0.0861407249466951	0.2255863539445629
D217897	5130	4652	0.13714531384350817	0.08233018056749786	0.21947549441100603
D217910	5130	4671	0.14193962748876043	0.08049668165275102	0.22243630914151144
D217911	5130	4666	0.1408058294042006	0.0818688384054865	0.2226746678096871
D217932	5130	3889	0.13988171766520957	0.08305476986371818	0.22293648752892775
D217947	5130	4033	0.14108604016860898	0.08207289858666006	0.22315893875526904
D217949	5130	4973	0.1409611904283129	0.08184194651116027	0.22280313693947315
D217961	5130	4545	0.14301430143014301	0.07898789878987898	0.222002200220022
D217964	5130	4982	0.14110798875953431	0.07788036932958652	0.21898835808912084
D217965	5130	4676	0.1454234388366125	0.08233532934131736	0.22775876817792987
D217969	5130	4229	0.14164104989359186	0.08039725703475999	0.22203830692835186
D217977	5130	4902	0.13994288045695635	0.08139534883720931	0.22133822929416563
D217993	5130	4385	0.1363740022805017	0.08323831242873432	0.21961231470923603
D229025	5130	4387	0.13722361522680648	0.08297241850923182	0.2201960337360383
D229032	5130	4349	0.13658312255690963	0.08162796045067831	0.21821108300758796
D229043	5130	4332	0.12788550323176362	0.0817174515235457	0.20960295475530932
D229051	5130	4055	0.1432799013563502	0.08162762022194821	0.2249075215782984
D229054	5130	4539	0.14254241022251599	0.08482044503194536	0.22736285525446134
D229055	5130	4189	0.13201241346383386	0.08713296729529721	0.21914538075913106
D229056	5130	4837	0.14657845772172834	0.08186892702088071	0.22844738474260906
D229063	5130	4626	0.1398616515348033	0.07976653696498054	0.21962818849978383
D229082	5130	4570	0.1413566739606127	0.08380743982494529	0.22516411378555798
D229093	5130	4928	0.1416396103896104	0.0836038961038961	0.2252435064935065
D229096	5130	4885	0.14165813715455475	0.08515864892528148	0.22681678607983624
D229097	5130	4746	0.13801095659502738	0.08006742520016856	0.21807838179519595
D229103	5130	4554	0.14317083882301274	0.07751427316644707	0.2206851119894598
D229126	5130	4835	0.15015511892450878	0.07797311271975181	0.2281282316442606
D229133	5130	4693	0.14702748774770935	0.08033240997229917	0.22735989772000853
D229154	5130	4764	0.1385390428211587	0.08228379513014274	0.22082283795130142
D229155	5130	4808	0.13331946755407653	0.0834026622296173	0.21672212978369385
D229160	5130	4706	0.1410964725881853	0.08266043348916277	0.22375690607734808
D229161	5130	4631	0.1442453033901965	0.07752105376808464	0.22176635715828114
D229162	5130	4959	0.1490219802379512	0.0780399274047187	0.2270619076426699
D229164	5130	4709	0.1471650031853897	0.07708643023996602	0.2242514334253557
D229165	5130	4236	0.14518413597733712	0.07932011331444759	0.2245042492917847
D229186	5130	4479	0.13529805760214333	0.08417057378879214	0.21946863139093548
D229192	5130	4455	0.1405162738496072	0.08529741863075196	0.22581369248035915
D229193	5130	4328	0.14024953789279113	0.07624768946395563	0.21649722735674676
D229512	5130	4978	0.14001607071112895	0.08437123342707915	0.22438730413820812
D229599	5130	4983	0.14970901063616296	0.08147702187437286	0.23118603251053582
D229633	5130	4601	0.13888285155401	0.08737231036731145	0.22625516192132145
D229648	5130	4993	0.14159823753254555	0.07931103544962947	0.22090927298217505
D229658	5130	4745	0.14267650158061118	0.07987355110642781	0.22255005268703898
D229676	5130	5003	0.1405156905856486	0.08514891065360783	0.22566460123925644
D229679	5130	4458	0.14311350381336924	0.07873485868102288	0.2218483624943921
D229705	5130	4749	0.1393977679511476	0.07959570435881239	0.21899347230996
D229707	5130	4869	0.14315054425960155	0.08030396385294722	0.22345450811254877
D229714	5130	4568	0.14273204903677758	0.07859019264448336	0.22132224168126094
D229716	5130	4959	0.1377293809235733	0.08570276265376084	0.22343214357733415
D229718	5130	4993	0.1373923492890046	0.08351692369317044	0.22090927298217505
D229721	5130	4952	0.14499192245557352	0.07815024232633279	0.2231421647819063
D229734	5130	4914	0.13756613756613756	0.08445258445258445	0.22201872201872203
D229737	5130	4983	0.1356612482440297	0.08288179811358619	0.2185430463576159
D229740	5130	4766	0.15107007973143097	0.08455728073856483	0.2356273604699958
D229742	5130	4833	0.14752741568384026	0.08193668528864059	0.22946410097248085
D229759	5130	4828	0.14726594863297432	0.07932891466445734	0.22659486329743164
D229770	5130	4688	0.14142491467576793	0.0810580204778157	0.2224829351535836
D229771	5130	4937	0.14522989669839984	0.08203362365809196	0.2272635203564918
D229772	5130	4302	0.13621571362157137	0.08158995815899582	0.21780567178056717
D229775	5130	4467	0.14013879561226775	0.08171032012536378	0.22184911573763152
D229776	5130	4958	0.145421540943929	0.08047599838644615	0.22589753933037515
D229780	5130	4945	0.13953488372093023	0.08452982810920122	0.22406471183013144
D229783	5130	4890	0.1458077709611452	0.08384458077709611	0.2296523517382413
D229784	5130	4532	0.13680494263018536	0.08318623124448367	0.21999117387466902
D237206	5130	5038	0.13199682413656214	0.08554982135768162	0.21754664549424374
D237232	5130	4925	0.14456852791878172	0.07796954314720812	0.22253807106598986
D237233	5130	4772	0.14417435037720033	0.08235540653813915	0.22652975691533947
D237235	5130	4989	0.15033072760072158	0.08117859290438965	0.23150932050511125
D237258	5130	4782	0.13885403596821413	0.08385612714345463	0.22271016311166875
D237276	5130	4379	0.14797899063713177	0.07718657227677551	0.2251655629139073
